match
"Abbot, ""Covenants in a Lease Which Run with the Land"", (1921) 31 Yale Law Journal"
"Abedian and Furmston, ""Relief Against Forfeiture after Breach of an Essential Time Stipulation in the Light of Union Eagle Ltd v Golden Achievements Ltd"", (1998) 12 Journal of Contract Law"
"Abel, ""Denationalization"", (1942) 6 Modern Law Review"
"Murphy, ""Formularism and Tort Law"", (1999) 21 Adelaide Law Review"
"Hampton, ""The Moral Education Theory of Punishment"" (1984) 13 Philosophy and Public Affairs"
"Aitken, ""Certiorari and jurisdictional error in the Federal Courts"", (1995) 69 Australian Law Journal"
"Aleinikoff, ""Theories of Loss of Citizenship"", (1986) 84 Michigan Law Review"
"Alexy, ""Proportionality and Rationality"", in Jackson and Tushnet (eds), Proportionality:"
"Alexy, ""Proportionality and Rationality"", in Jackson and Tushnet (eds), Proportionality:"
"Alexy, ""Proportionality and Rationality"", in Jackson and Tushnet (eds), Proportionality:"
"Alexy, ""Proportionality and Rationality"", in Jackson and Tushnet (eds), Proportionality:"
"Alexy, ""Constitutional Rights and Proportionality"" (2014) 22 Revus"
"Allan, ""Common Law Reason and the Limits of Judicial Deference"", in Dyzenhaus (ed), The Unity of Public Law, (2004) 289 at"
"Allen, ""The Acquisition of Property on Just Terms"", (2000) 22 Sydney Law Review"
"Allen, ""The Acquisition of Property on Just Terms"", (2000) 22 Sydney Law Review"
"Allsop, ""Bryan v Maloney and Other Developments in Relation to the Duty of Care in Tort"", (1996) 7 Insurance Law Journal"
"Allsop, ""The Foundations of Administrative Law"", speech delivered at the 12th Annual Whitmore Lecture, 4 April"
"Allsop, ""The Foundations of Administrative Law"", speech delivered at the 12th Annual Whitmore Lecture, 4 April"
"Allsop, ""The Law as an Expression of the Whole Personality"", [2017] (Summer) Bar News"
"Alpert, ""Unholy Gains"", Barron's, 30 October"
"Alpert, ""Unholy Gains"", Barron's, 30 October"
"Alpert, ""Unholy Gains"", Barron's, 30 October"
"Alschuler, ""Preventive Pretrial Detention and the Failure of Interest-Balancing Approaches to Due Process"", (1986) 85 Michigan Law Review"
"Amar, ""Jury Service as Political Participation Akin to Voting"", (1995) 80 Cornell Law Review"
"Amar, ""Double Jeopardy Law Made Simple"", (1997) 106 Yale Law Journal"
"Ames, ""The History of Assumpsit"", (1888) 2 Harvard Law Review"
"Amidon, ""The Quest for Error and the Doing of Justice"" (1906) 5 Canadian Law Review"
"Amsterdam, ""The Void-for-Vagueness Doctrine in the Supreme Court"", (1960) 109 University of Pennsylvania Law Review"
"Amsterdam, ""The Void-for-Vagueness Doctrine in the Supreme Court"", (1960) 109 University of Pennsylvania Law Review"
"Amsterdam, ""The Void-for-Vagueness Doctrine in the Supreme Court"", (1960) 109 University of Pennsylvania Law Review"
"Amsterdam, ""The Void-for-Vagueness Doctrine in the Supreme Court"", (1960) 109 University of Pennsylvania Law Review"
"Atiyah, ""Res ipsa loquitur in England and Australia"", (1972) 35 Modern Law Review"
"Kirby, ""The Globalization of the Media and Judicial Independence"", in Martin"
"Kirk, ""Constitutional Implications from Representative Democracy"", (1995) 23 Federal Law Review"
"Snelling, ""The Alternative Verdict of Manslaughter"", (1958) 32 Australian Law Journal"
"Anderson, ""The States and Relations with the Commonwealth"", in Else-Mitchell (ed), Essays on the Australian Constitution, (1961) 93 at 108."
"Anderson, ""The Failure of American Privacy Law"", in Markesinis"
"Anderson, ""Averments"" (1945) 19 Australian Law Journal"
"Andrews, ""Re-opening the case for the prosecution"", (1991) 107 Law Quarterly Review"
"Anon, ""Testimony of Parties in Criminal Cases"", (1866) 21 Law Magazine and Law Review"
"Anton, ""The Hague Convention on International Child Abduction"", (1981) 30 International and Comparative Law Quarterly"
"Anton, ""The Hague Convention on International Child Abduction"", (1981) 30 International and Comparative Law Quarterly"
"Areeda and Turner, ""Predatory Pricing and Related Practices under Section 2 of the Sherman Act"", (1975) 88 Harvard Law Review"
"Areeda and Turner, ""Predatory Pricing and Related Practices Under Section 2 of the Sherman Act"", (1975) 88 Harvard Law Review"
"Areeda and Turner, ""Predatory Pricing and Related Practices Under Section 2 of the Sherman Act"", (1975) 88 Harvard Law Review"
"Arnold, ""The Compensated Surety"", (1926) 26 Columbia Law Review"
"Arnold, ""The Compensated Surety"", (1926) 26 Columbia Law Review"
"Arnold, ""The Compensated Surety"", (1926) 26 Columbia Law Review"
"Aronson, ""Jurisdictional error without the tears"", in Groves and Lee (eds), Australian Administrative Law – Fundamentals, Principles and Doctrines, (2007) 330 at 335-336."
"Aronson, ""Jurisdictional error without the tears"", in Groves and Lee (eds), Australian Administrative Law – Fundamentals,"
"Aronson, ""Jurisdictional Error without the Tears"", in Groves and Lee (eds), Australian Administrative Law:"
"Aronson, ""Government Liability in Negligence"", (2008) 32 Melbourne University Law Review"
"Aronson, ""Government Liability in Negligence"", (2008) 32 Melbourne University Law Review"
"Aronson, ""Government Liability in Negligence"", (2008) 32 Melbourne University Law Review"
"Wang and Mendelson, ""An Overview of Liability and Compensation for Personal Injury in China under the General Principles of Civil Law"", (1996) 4 Torts Law Journal"
"Atiyah, ""Res Ipsa Loquitur in England and Australia"", (1972) 35 Modern Law Review"
"Atiyah, ""Res Ipsa Loquitur in England and Australia"", (1972) 35 Modern Law Review"
"Atiyah, ""Res Ipsa Loquitur in England and Australia"", (1972) 35 Modern Law Review"
"Atiyah, ""Res Ipsa Loquitur in England and Australia"", (1972) 35 Modern Law Review"
"Atiyah, ""Common Law and Statute Law"", (1985) 48 The Modern Law Review"
"Atiyah, ""Negligence and Economic Loss"" (1967) 83 Law Quarterly Review"
"Atiyah, ""Common Law and Statute Law"", (1985) 48 Modern Law Review"
"Atiyah, ""Common Law and Statute Law"", (1985) 48 Modern Law Review"
"Atiyah, ""Common Law and Statute Law"", (1985) 48 Modern Law Review"
"Atiyah, ""Common Law and Statute Law"", (1985) 48 Modern Law Review"
"Attanasio, ""Lawyer Advertising in England and the United States"", (1984) 32 American Journal of Comparative Law"
"Attanasio, ""Lawyer Advertising in England and the United States"", (1984) 32 American Journal of Comparative Law"
"Augustinos, ""Blackhole Expenditures and the Operation of Section 40-880"" (2009) 38 Australian Tax Review"
"Austin, ""Moulding the Content of Fiduciary Duties"", in Oakley (ed), Trends in Contemporary Trust Law, (1996) 153 at 156;"
"Austin, ""Moulding the Content of Fiduciary Duties"", in Oakley (ed), Trends in Contemporary Trust Law, (1996) 153 at"
"Austin, ""Commentary"", (1999) 18 Australian Bar Review"
"Ayres et al, ""Protracted fatigue and debility after acute Q fever"", (1996) 347 The Lancet,"
"Baalman, ""Common Building Schemes and the Torrens System"", (1953) 27 Australian Law Journal"
"Bagshaw, ""Inducing Breach of Contract"", in Horder (ed), Oxford Essays in Jurisprudence (Fourth Series), (2000) 131 at 133,"
"Bagshaw, ""Deceit Within Couples"" (2001) 117 Law Quarterly Review"
"Bailey, ""The Benefit of a Restrictive Covenant"", (1938) 6 Cambridge Law Journal"
"Bailey, ""The Benefit of a Restrictive Covenant"", (1938) 6 Cambridge Law Journal"
"Bailey, ""The Federal Jurisdiction of State Courts"", (1940) 2 Res Judicatae"
"Bailey, ""The Federal Jurisdiction of State Courts"", (1940) 2 Res Judicatae"
"Bailey, ""Due Process Rights"", in Feldman"
"Baker, ""Cross-Vesting of jurisdiction between state and federal courts"", (1987) 14 The University of Queensland Law Journal"
"Baker, ""Cross-Vesting of jurisdiction between state and federal courts"", (1987) 14 University of Queensland Law Journal"
"Baker, ""Libel from Comment on Facts Generally Known"", (1963) 23 Maryland Law Review"
"Bale, ""Patent Protection and Pharmaceutical Innovation"", (1997) 29 New York University Journal of International Law and Politics"
"Ball, ""The Jural Nature of Land"", (1928) 23 Illinois Law Review"
"Bamforth, ""Parliamentary Sovereignty and the Human Rights Act 1998"", (1998) Public Law"
"Barnett, ""The Uneasy Position of Unjust Enrichment After Roxborough v Rothmans"", (2002) 23 Adelaide Law Review"
"Barry, ""Suicide and the Law"", (1965) 5 Melbourne University Law Review"
"Barry, ""Suicide and the Law"", (1965) 5 Melbourne University Law Review"
"Barry, ""Suicide and the Law"", (1965) 5 Melbourne University Law Review"
"Barry, ""Suicide and the Law"", (1965) 5 Melbourne University Law Review"
"Barry, ""On the Segregation of Jurors"", (1953) 6 Res Judicatae"
"Barwick, ""Precedent in the Southern Hemisphere"", (1970) 5 Israel Law Review"
"Bassiouni, ""Enslavement as an International Crime"", (1991) 23 New York University Journal of International Law and Politics"
"Bauman, ""The Sentencing of Sexual Offences against Children"", (1998) 17 Criminal Reports"
"Bauman, ""The Sentencing of Sexual Offences against Children"", (1998) 17 Criminal Reports"
"Baxt, ""Commercial Law"", (1993) 67 Australian Law Journal"
"Baxt, ""Commercial Law"", (1993) 67 Australian Law Journal"
"Bayefsky, ""The Principle of Equality or Non-Discrimination in International Law"", (1990) 11 Human Rights Law Journal"
"Beale, ""Equity and Good Conscience"", (1937) 10 Australian Law Journal"
"Beatson, ""The Role of Statute in the Development of Common Law Doctrine"", (2001) 117 Law Quarterly Review"
"Beatson, ""Duress by Threatened Breach of Contract"", (1976) 92 Law Quarterly Review"
"Beaumont, ""Need for Revision and Amplification of the Warsaw Convention"", (1949) 16 Journal of Air Law and Commerce"
"Beaumont and McEleavy, The Hague Convention on International Child Abduction (1999) (""Beaumont and McEleavy""), Ch"
"Anton, ""The Hague Convention on International Child Abduction"", (1981) 30 International and Comparative Law Quarterly"
"Beckett, ""Assessment of Sex Offenders"", in Morrison, Erooga and Beckett"
"Behrens and Tahmindjis, ""Family Law and Human Rights"" in Kinley (ed), Human Rights in Australian Law"
"Beier, ""The Inventive Step in Its Historical Development"", (1986) 17 International Review of Industrial Property and Copyright Law"
"Bell, ""Appellate review of the facts"", (2014) 39 Australian Bar Review"
"Benn, ""The Protection and Limitation of Privacy"", (1978) 52 Australian Law Journal"
"Bennett, ""The Establishment of Divorce Laws in New South Wales"", (1963) 4 Sydney Law Review"
"Bennett, ""The Establishment of Divorce Laws in New South Wales"", (1963) 4 Sydney Law Review"
"Bennett, ""The Establishment of Divorce Laws in New South Wales"", (1963) 4 Sydney Law Review"
"Bennett, ""The Establishment of Jury Trial in New South Wales"", (1961) 3 Sydney Law Review"
"Bennett, ""The Establishment of Jury Trial in New South Wales"" (1961) 3 Sydney Law Review"
"Bennion, ""Codifying the Tort of Breach of Statutory Duty"", (1996) 17 Statute Law Review"
"Bentham, ""An Introduction to the Principles of Morals and Legislation"", in Bowring (ed), The Works of Jeremy Bentham (1843), vol"
"Berlin, ""Two Concepts of Liberty"", in Hardy and Hausheer (eds), The Proper Study of Mankind:"
"Berman, ""The Concept of Aboriginal Rights in the Early Legal History of the United States"", (1978) 27 Buffalo Law Review"
"Berns, ""Judicial Paternalism and the High Court"", (1993) 18(5) Alternative Law Journal"
"Berns, ""Judicial paternalism and the High Court"" (1993) 18 Alternative Law Journal"
"Bingham, ""Judicial Ethics"" in Cranston (ed), Legal Ethics and Professional Responsibility, (1995) 35 at 40-"
"Bingham, ""The Rule of Law"", (2007) 66 Cambridge Law Journal"
"Birks, ""Three Kinds of Objection to Discretionary Remedialism"" (2000) 29 University of Western Australia Law Review"
"Birks, ""Recovering Value Transferred Under an Illegal Contract"", (2000) 1 Theoretical Inquiries in Law"
"Birks, ""Recovering Value Transferred Under an Illegal Contract"", (2000) 1 Theoretical Inquiries in Law"
"Birks, ""Recovering Value Transferred Under an Illegal Contract"", (2000) 1 Theoretical Inquiries in Law"
"Birks, ""English and Roman Learning in Moses v Macferlan"", (1984) 37 Current Legal Problems"
"Birks, ""Negotiorum Gestio and the Common Law"" (1971) 24 Current Legal Problems"
"Birks, ""The academic and the practitioner"", (1998) 18 Legal Studies"
"Black, ""Developments in Practice and Procedure in Native Title Cases"", (2002) 13 Public Law Review"
"Blackburn, ""Dicey and the Teaching of Public Law"", (1985) Public Law"
"Bohlen, ""Incomplete Privilege to Inflict Intentional Invasions of Interests of Property and Personality"" (1926) 39 Harvard Law Review"
"Bohlen, ""The Effect of Rebuttable Presumptions of Law upon the Burden of Proof"" (1920) 68 University of Pennsylvania Law Review"
"Borchard, ""Government Liability in Tort"", (1924) 34 Yale Law Journal"
"Bork, ""Adversary Jurisprudence"", The New Criterion, May 2002 at 10."
"Bork, ""Adversary Jurisprudence"", The New Criterion, May 2002 at 7."
"Boutrous, ""Why an Expanded Common-Law Privilege Should Also Protect the Media"", (1997) 15 Communications Lawyer"
"Bowman, ""American Administrative Tribunals"", (1906) 21 Political Science Quarterly"
"Boyle and Baldaccini, ""A Critical Evaluation of International Human Rights Approaches to Racism"", in Fredman (ed), Discrimination and Human Rights:"
"Bradfield, ""Comment on Green v The Queen"", (1998) 5 Criminal Law Journal"
"Brandeis, ""What Publicity Can Do"", Harper's Weekly, 20 December"
"Brandis, ""Interlocutory Injunctions to Restrain Speech"", (1991) 12 Queensland Lawyer"
"Brazil, ""Australian Nationality and Immigration"", in Ryan (ed), International Law in Australia, 2nd ed (1984) 210 at 210-"
"Brazil, ""Australian Nationality and Immigration"" in Ryan (ed), International Law in Australia, 2nd ed (1984), 210 at 210."
"Brazil, ""Australian Nationality and Immigration"", in Ryan (ed) International Law in Australia, 2nd ed (1984) at 222."
"Brazil, ""Australian Nationality and Immigration"", in Ryan (ed) International Law in Australia, 2nd ed (1984), Ch 8;"
"Brazil, ""Australian Nationality and Immigration"" in Ryan (ed), International Law in Australia, (1984) 210 at 223."
"Brazil, ""Australian Nationality and Immigration"" in Ryan (ed), International Law in Australia, (1984) 210 at 223."
"Brazil, ""Australian Nationality and Immigration"" in Ryan, International Law in Australia, 2nd ed (1984) 210;"
"Brazil, ""The Ascertainment of Facts in Australian Constitutional Cases"", (1970) 4 Federal Law Review"
"Brennan, ""The Purpose and Scope of Judicial Review"", (1986) 2 Australian Bar Review"
"Brennan, ""The Purpose and Scope of Judicial Review"" (1986) 2 Australian Bar Review"
"Brennan, ""The Privy Council and the Constitution"", in Lee and Winterton"
"Brennan, ""The Privy Council and the Constitution"", in Lee and Winterton"
"Brennan, ""Limits on the Use of Judges"", (1978) 9 Federal Law Review"
"Brereton, ""Legal Professional Privilege"", in Gleeson, Watson and Peden (eds), Historical Foundations of Australian Law (2013), vol 2,"
"Brereton, ""Legal Professional Privilege"", in Gleeson, Watson and Peden (eds), Historical Foundations of Australian Law (2013), vol 2,"
"Brereton, ""Legal Professional Privilege"", in Gleeson, Watson and Peden (eds), Historical Foundations of Australian Law (2013), vol 2,"
"Brereton, ""Legal Professional Privilege"", in Gleeson, Watson and Peden (eds), Historical Foundations of Australian Law (2013), vol 2,"
"Brest, ""The Misconceived Quest for the Original Understanding"", (1980) 60 Boston University Law Review"
"Breyer, ""Judicial Review of Questions of Law and Policy"", (1986) 38 Administrative Law Review"
"Breyer, ""Five Questions about Australian Anti-Trust Law"", (1977) 51 Australian Law Journal"
"Briggs, ""Choice of law in tort and delict"", (1995) Lloyd's Maritime and Commercial Law Quarterly"
"Briggs, ""Choice of law in tort and delict"", (1995) Lloyd's Maritime and Commercial Law Quarterly"
"Briggs, ""In Praise and Defence of Renvoi"", (1998) 47 International and Comparative Law Quarterly"
"Briggs, ""In Praise and Defence of Renvoi"", (1998) 47 International and Comparative Law Quarterly"
"Briggs, ""In Praise and Defence of Renvoi"", (1998) 47 International and Comparative Law Quarterly"
"Bright, ""Beyond Sham and into Pretence"", (1991) 11 Oxford Journal of Legal Studies"
"Bright, ""Beyond Sham and into Pretence"", (1991) 11 Oxford Journal of Legal Studies"
"Bright, ""Beyond Sham and into Pretence"", (1991) 11 Oxford Journal of Legal Studies"
"Bromley, ""Rectification in Equity"", (1971) 87 Law Quarterly Review"
"Bromley, ""Rectification in Equity"", (1971) 87 Law Quarterly Review"
"Broms, ""States"", in Bedjaoui (ed), International Law:"
"Broms, ""States"", in Bedjaoui (ed), International Law:"
"Brooks, ""Marital Consent in Rape"", [1989] Criminal Law Review"
"Brown, ""Assumption of Responsibility and Loss of Bargain in Tort Law"" (2006) 29 Dalhousie Law Journal"
"Brown, ""Memorial oration seeks provocation review"", (1999) 73(6) Law Institute Journal"
"Brown, ""Academic Freedom"" (1900) 19 Educational Review"
"Brownlie, ""The Rights of Peoples in Modern International Law"", in Crawford (ed), The Rights of Peoples, (1988) 1 at 9-10;"
"Brownlie, ""The Rights of Peoples in Modern International Law"", in Crawford"
"Brunskill, ""Consorting"", (2003) 11(1) Policing Issues & Practice Journal"
"Bryan and Ellinghaus, ""Fault Lines in the Law of Obligations"", (2000) 22 Sydney Law Review"
"Bryan and Ellinghaus, ""Fault Lines in the Law of Obligations"", (2000) 22 Sydney Law Review"
"Bryan and Ellinghaus, ""Fault Lines in the Law of Obligations"", (2000) 22 Sydney Law Review"
"Bryan and Ellinghaus, ""Fault Lines in the Law of Obligations"", (2000) 22 Sydney Law Review"
"Bryan and Ellinghaus, ""Fault Lines in the Law of Obligations"", (2000) 22 Sydney Law Review"
"Brysland and Rizalar, ""Constructional Choice"", (2018) 92 Australian Law Journal"
"Burmester, ""Limitations on Federal Adjudication"", in Opeskin and Wheeler (eds), The Australian Federal Judicial System, (2000) 227 at 232."
"Burns, ""The Future of Prescriptive Easements in Australia and England"" (2007) 31 Melbourne University Law Review"
"Burns, ""The Future of Prescriptive Easements in Australia and England"" (2007) 31 Melbourne University Law Review"
"Burrows, ""Freedom of the Press under the New Zealand Bill of Rights Act 1990"", in Joseph (ed), Essays on the Constitution (1995) 286."
"Burrows, ""The Relationship Between Common Law and Statute in the Law of Obligations"" (2012) 128 Law Quarterly Review"
"Burrows, ""Good Consideration in the Law of Unjust Enrichment"", (2013) 129 Law Quarterly Review"
"Bussani and Palmer, ""The case studies"", in Bussani and Palmer"
"Butler, ""Nervous shock at common law"", (1996) 4 Torts Law Journal"
"Butt, ""Purchasers relieved against loss of contract"", (2002) 76 Australian Law Journal"
"Butt, ""Purchasers relieved against loss of contract"", (2002) 76 Australian Law Journal"
"Butt, ""Recovery of deposit"", (2002) 76 Australian Law Journal"
"Button and Babb, ""Some Aspects of Constructive Murder in New South Wales"", (2007) 31 Criminal Law Journal"
"Buxton, ""Miscarriages of Justice and the Court of Appeal"", (1993) 109 Law Quarterly Review"
"Buxton, ""Some Simple Thoughts on Intention"", [1988] Criminal Law Review"
"Byers, ""The Australian Constitution and Responsible Government"", (1985) 1 Australian Bar Review"
"Byers, ""Commentaries"" in Evans (ed), Labor and the Constitution 1972-1975, (1977) at 68-71;"
"Caldwell, ""The Pinochet Saga"", (1999) New Zealand Law Journal"
"Campbell, ""Effect of Administrative Decisions Procured by Fraud or Misrepresentation"", (1998) 5 Australian Journal of Administrative Law"
"Campbell, ""Incorporation through Interpretation"", in Campbell, Ewing and Tomkins (eds), Sceptical Essays on Human Rights, (2001) 79."
"Campbell, ""The Retrospectivity of Judicial Decisions and the Legality of Governmental Acts"" (2003) 29 Monash University Law Review"
"Campbell, ""The Choice between Judicial and Administrative Tribunals and the Separation of Powers"", (1981) 12 Federal Law Review"
"Campbell, ""Inferior and Superior Courts and Courts of Record"", (1997) 6 Journal of Judicial Administration"
"Campbell, ""Inferior and Superior Courts and Courts of Record"", (1997) 6 Journal of Judicial Administration"
"Campbell, ""Comment on State Government Agreements"", (1977) 1 Australian Mining and Petroleum Law Journal"
"Campbell, ""Constitutional Protection of State Courts and Judges"", (1997) 23 Monash University Law Review"
"Campbell, ""Constitutional Protection of State Courts and Judges"", (1997) 23 Monash University Law Review"
"Campbell, ""Constitutional Protection of State Courts and Judges"", (1997) 23 Monash University Law Review"
"Campbell, ""Constitutional Protection of State Courts and Judges"", (1997) 23 Monash University Law Review"
"Campbell, ""Constitutional Protection of State Courts and Judges"", (1997) 23 Monash University Law Review"
"Campbell, ""Colonial Legislation and the Laws of England"", (1965) 2 University of Tasmania Law Review"
"Campbell, ""Colonial Legislation and the Laws of England"" (1965) 2 University of Tasmania Law Review"
"Campbell, ""Termination of Appointments to Public Offices"", (1996) 24 Federal Law Review"
"Campbell, ""Res Judicata and Decisions of Foreign Tribunals"" (1994) 16 Sydney Law Review"
"Campbell, ""The Royal Prerogative to Create Colonial Courts"" (1964) 4 Sydney Law Review"
"Campbell, ""De Facto Officers"", (1994) 2 Australian Journal of Administrative Law"
"Campbell, ""De Facto Officers"", (1994) 2 Australian Journal of Administrative Law"
"Campbell, ""De Facto Officers"", (1994) 2 Australian Journal of Administrative Law"
"Campbell, ""The Test of Dishonesty in R v Ghosh"" (1984) 43 Cambridge Law Journal"
"Campbell, ""The Test of Dishonesty in R v Ghosh"" (1984) 43 Cambridge Law Journal"
